-- Часть 1. Исследовательский анализ данных
-- Задача 1. Исследование доли платящих игроков

-- 1.1. Доля платящих пользователей по всем данным:
total_users|total_users_pay|share_users|
-----------+---------------+-----------+
      22214|           3929|       0.18|
1.2. Доля платящих пользователей в разрезе расы персонажа:
race    |total_users|total_users_pay|share_user_race|
--------+-----------+---------------+---------------+
Human   |       6328|           1114|           0.18|
Hobbit  |       3648|            659|           0.18|
Orc     |       3619|            636|           0.18|
Northman|       3562|            626|           0.18|
Elf     |       2501|            427|           0.17|
Angel   |       1327|            229|           0.17|
Demon   |       1229|            238|           0.19|
Задача 2. Исследование внутриигровых покупок
-- 2.1. Статистические показатели по полю amount:
total_transactions|sum_amount|max_amount|min_amount|avg_amount       |mediana_amount|std_amount       |
------------------+----------+----------+----------+-----------------+--------------+-----------------+
           1307678| 686615040|  486615.1|       0.0|525.6919663589833|         74.86|2517.345444427788|
-- 2.2: Аномальные нулевые покупки:
zero_count_amount|total_amount|share_amount_zero |
-----------------+------------+------------------+
              907|     1307678|0.0006935958240484|
2.3: Сравнительный анализ активности платящих и неплатящих игроков:
category  |total_users|avg_count_pay|avg_sum_amount|
----------+-----------+-------------+--------------+
неплатящие|      11348|        97.56|      48631.74|
платящие  |       2444|        81.68|      55467.75|
-- 2.4: Популярные эпические предметы:
game_items               |total_pay_items|unique_users|share_items|share_users|
-------------------------+---------------+------------+-----------+-----------+
Book of Legends          |        1004516|       12194|       0.77|       0.88|
Bag of Holding           |         271875|       11968|       0.21|       0.87|
Necklace of Wisdom       |          13828|        1627|       0.01|       0.12|
Gems of Insight          |           3833|         926|       0.00|       0.07|
Treasure Map             |           3183|         819|       0.00|       0.06|
Amulet of Protection     |           1078|         445|       0.00|       0.03|
Silver Flask             |            795|         633|       0.00|       0.05|
Strength Elixir          |            580|         331|       0.00|       0.02|
Glowing Pendant          |            563|         354|       0.00|       0.03|
Gauntlets of Might       |            514|         281|       0.00|       0.02|
Sea Serpent Scale        |            458|          59|       0.00|       0.00|
Ring of Wisdom           |            379|         310|       0.00|       0.02|
Potion of Speed          |            375|         231|       0.00|       0.02|
Magic Ornament           |            282|         113|       0.00|       0.01|
Ring of Invisibility     |            252|         184|       0.00|       0.01|
Magical Lantern          |            247|         102|       0.00|       0.01|
Herbs for Potions        |            241|         148|       0.00|       0.01|
Potion of Acceleration   |            230|         180|       0.00|       0.01|
Feather of Writing       |            222|         154|       0.00|       0.01|
Enemy Traps              |            168|          94|       0.00|       0.01|
Time Artifact            |            168|         148|       0.00|       0.01|
Scroll of Magic          |            162|         117|       0.00|       0.01|
Monster Compendium       |            151|         138|       0.00|       0.01|
Water of Life            |            142|         122|       0.00|       0.01|
Pegasus Feather          |            138|          26|       0.00|       0.00|
Trap Chest               |            137|         120|       0.00|       0.01|
Magic Key                |            127|          81|       0.00|       0.01|
Dungeon Map              |            108|          74|       0.00|       0.01|
Runes of Power           |            106|          73|       0.00|       0.01|
Antidote Potion          |             89|          47|       0.00|       0.00|
